bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,
30MX14A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,14+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-NORM-SL14-G25,893
32MX14A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,14+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC32MPA-NORM-SL14-G25,894
33MX14A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,14+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC33MPA-NORM-SL14-G25,895
35MX14A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,14+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC35MPA-NORM-SL14-G25,896
08MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC08MPA-NORM-SL16-G25,897
10MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC10MPA-NORM-SL16-G25,898
12MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC12MPA-NORM-SL16-G25,899
14MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC14MPA-NORM-SL16-G25,900
16MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC16MPA-NORM-SL16-G25,901
18MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC18MPA-NORM-SL16-G25,902
20MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC20MPA-NORM-SL16-G25,903
22MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC22MPA-NORM-SL16-G25,904
25MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC25MPA-NORM-SL16-G25,905
27MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC27MPA-NORM-SL16-G25,906
30MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-NORM-SL16-G25,907
32MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC32MPA-NORM-SL16-G25,908
33MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC33MPA-NORM-SL16-G25,909
35MX16A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC35MPA-NORM-SL16-G25,910
08MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC08MPA-NORM-SL18-G25,911
10MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC10MPA-NORM-SL18-G25,912
12MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC12MPA-NORM-SL18-G25,913
14MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC14MPA-NORM-SL18-G25,914
16MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC16MPA-NORM-SL18-G25,915
18MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC18MPA-NORM-SL18-G25,916
20MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC20MPA-NORM-SL18-G25,917
22MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC22MPA-NORM-SL18-G25,918
25MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC25MPA-NORM-SL18-G25,919
27MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC27MPA-NORM-SL18-G25,920
30MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC30MPA-NORM-SL18-G25,921
32MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC32MPA-NORM-SL18-G25,922
33MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC33MPA-NORM-SL18-G25,923
35MX18A06XXX,,,,3/18/2022 0:00,08401065,IDCGHO0320,08401065,3/18/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,FC35MPA-NORM-SL18-G25,924
